City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
100,whitehorse,60.7161,-135.0538,11.010000000000048,93,75,1.03,CA,1722412369
101,meadow lake,34.8014,-106.5436,27.33000000000004,30,88,0.83,US,1722412370
102,sinan,34.8262,126.1086,32.06,92,0,6.39,KR,1722412372
103,sitka,57.0531,-135.33,12.939999999999998,76,100,4.12,US,1722412363
104,dudinka,69.4058,86.1778,27.210000000000036,26,0,6.34,RU,1722412374
105,jamestown,42.097,-79.2353,22.77000000000004,98,100,3.6,US,1722412176
106,nadym,65.5333,72.5167,24.629999999999995,40,5,1.73,RU,1722412377
107,walvis bay,-22.9575,14.5053,10.050000000000011,71,0,0.77,NA,1722412378
108,kollam,8.8833,76.6,27.230000000000018,80,96,6.11,IN,1722412379
109,tiksi,71.6872,128.8694,2.930000000000007,72,82,3.67,RU,1722412381
110,trat,12.5,102.5,28.110000000000014,73,100,4.72,TH,1722412383
111,olonkinbyen,70.9221,-8.7187,5.470000000000027,99,93,3.44,SJ,1722412384
112,padang,-0.9492,100.3543,32.03000000000003,79,100,1.8,ID,1722412320
113,west island,-12.1568,96.8225,27.99000000000001,65,20,6.69,CC,1722412387
114,enewetak,11.3474,162.3373,28.58000000000004,75,88,3.96,MH,1722412388
115,kirillov,59.863,38.3813,18.340000000000032,81,94,1.24,RU,1722412389
116,susuman,62.7833,148.1667,9.490000000000009,78,100,3.13,RU,1722412391
117,edmundston,47.3737,-68.3251,20.629999999999995,94,100,3.09,CA,1722412392
118,zuunmod,47.7069,106.9528,24.57000000000005,50,100,4.39,MN,1722412393
119,praia da vitoria,38.7333,-27.0667,23.140000000000043,94,40,3.69,PT,1722412394
120,maracana,-0.7667,-47.45,22.379999999999995,100,28,0.2,BR,1722412396
121,boguchany,58.3814,97.4531,21.110000000000014,92,100,1.85,RU,1722412397
122,dunedin,-45.8742,170.5036,3.7800000000000296,82,71,2.51,NZ,1722412398
123,utrik,11.2278,169.8474,28.120000000000005,80,83,6.18,MH,1722412399
124,charallave,10.2425,-66.8572,24.150000000000034,95,7,1.18,VE,1722412401
125,shangmei,27.7428,111.2956,32.23000000000002,68,75,1.89,CN,1722412402
126,atafu village,-8.5421,-172.5159,28.05000000000001,77,100,12.01,TK,1722412403
127,crane,31.3974,-102.3501,27.590000000000032,53,0,10.37,US,1722412404
128,kenora,49.8167,-94.4337,23.54000000000002,83,20,3.6,CA,1722412405
129,aver-o-mar,41.4078,-8.7812,20.310000000000002,88,100,2.06,PT,1722412407
130,bel ombre,-4.6167,55.4167,27.910000000000025,74,20,4.63,SC,1722412408
